epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
38,999.545,0.10471,0.96067,1,0.18735,0.00136169,0.00136169,0.00136169
39,1023.8,0.08465,0.96067,1,0.13617,0.00135344,0.00135344,0.00135344
40,1048.08,0.07746,0.96067,1,0.12545,0.00134519,0.00134519,0.00134519
41,1072.53,0.0694,0.96067,1,0.12584,0.00133693,0.00133693,0.00133693
42,1096.38,0.07069,0.96067,1,0.13105,0.00132868,0.00132868,0.00132868
43,1120.56,0.06019,0.96067,1,0.1244,0.00132043,0.00132043,0.00132043
44,1144.5,0.06499,0.96067,1,0.15842,0.00131218,0.00131218,0.00131218
45,1168.35,0.06918,0.96067,1,0.16129,0.00130393,0.00130393,0.00130393
46,1192.48,0.06214,0.96067,1,0.32293,0.00129568,0.00129568,0.00129568
47,1216.44,0.05909,0.96067,1,0.14805,0.00128742,0.00128742,0.00128742
48,1240.64,0.06363,0.96067,1,0.19003,0.00127917,0.00127917,0.00127917
49,1265.63,0.05857,0.96067,1,0.18188,0.00127092,0.00127092,0.00127092
50,1290.26,0.06036,0.96067,1,0.1883,0.00126267,0.00126267,0.00126267
51,1315.06,0.05667,0.9382,1,0.20673,0.00125442,0.00125442,0.00125442
52,1339.62,0.05572,0.95506,1,0.19431,0.00124617,0.00124617,0.00124617
53,1364.16,0.07074,0.96067,1,0.20303,0.00123791,0.00123791,0.00123791
54,1388.92,0.07581,0.96067,1,0.25829,0.00122966,0.00122966,0.00122966
55,1413.48,0.06325,0.96067,1,0.45384,0.00122141,0.00122141,0.00122141
56,1438.28,0.05206,0.96067,1,0.32023,0.00121316,0.00121316,0.00121316
57,1463.06,0.0836,0.96067,1,0.15141,0.00120491,0.00120491,0.00120491
58,1487.85,0.07335,0.96067,1,0.17042,0.00119666,0.00119666,0.00119666
59,1512.62,0.06793,0.96067,1,0.1891,0.0011884,0.0011884,0.0011884
60,1537.32,0.0615,0.96067,1,0.14356,0.00118015,0.00118015,0.00118015
61,1562.03,0.09505,0.96067,1,0.23556,0.0011719,0.0011719,0.0011719
62,1586.86,0.07152,0.94944,1,0.15627,0.00116365,0.00116365,0.00116365
63,1611.41,0.0759,0.94944,1,0.20954,0.0011554,0.0011554,0.0011554
64,1636.05,0.0814,0.96067,1,0.17745,0.00114715,0.00114715,0.00114715
65,1660.74,0.07903,0.96067,1,0.27778,0.00113889,0.00113889,0.00113889
66,1685.36,0.08554,0.96067,1,0.21822,0.00113064,0.00113064,0.00113064
67,1710.22,0.06375,0.96067,1,0.27339,0.00112239,0.00112239,0.00112239
68,1735.13,0.06083,0.96067,1,0.22272,0.00111414,0.00111414,0.00111414
69,1759.86,0.06302,0.9382,1,0.18631,0.00110589,0.00110589,0.00110589
70,1784.71,0.05787,0.96067,1,0.191,0.00109764,0.00109764,0.00109764
71,1809.42,0.0628,0.96067,1,0.21702,0.00108938,0.00108938,0.00108938
72,1834.18,0.05059,0.96067,1,0.23855,0.00108113,0.00108113,0.00108113
73,1858.91,0.0646,0.96067,1,0.28157,0.00107288,0.00107288,0.00107288
74,1883.71,0.05165,0.96629,1,0.18712,0.00106463,0.00106463,0.00106463
75,1908.56,0.0539,0.96067,1,0.24604,0.00105638,0.00105638,0.00105638
